the_review,year,month
This item is poorly made. Battery died within 40 minutes after full charge (3 hours) It was returned the same day it was delivered.,2022,10
"Mouse worked fine for 3 months, charged it every week or so. Then wouldn't charge via USB. Not good option for those who need something reliable.",2022,10
"Received product on the 12th, charged it and started using it. The charge didn't last that long maybe a day at most. But today (10/17/22) it doesn't work at all. Glad I kept my old battery one.",2022,10
"This mouse was great, up until today when the scroll finger pad completely broke? The scroll function is loose and now wont work at all :(",2022,10
I've had this for a month and a half it's stopped working.  I've tried charging repeatedly and it does nothing.,2022,10
This worked great for 5 months then one day just stopped working...,2022,10
Worked well for the first few weeks then Broke right after return window closed.,2022,10
"It was ok for a cheap mouse, it started lagging after a few months, and eventually quit working over all",2022,10
Broke in less than 2 months. Scrolling won't workWouldn't recommendQuit right outside the return window,2022,10
Ergonomic and fits my hand well.Pretty when charged.***mine doesn’t hold a charge well. It only lasts a couple hours at most.,2022,10
Certainly helps to look at instructional pictures and to try to translate what the instructions mean,2022,10
The little wheel broke within the 2nd day,2022,10
Performs as expected,2022,10
"Mouse seems to work ok. Looks nice, easy install, etc, Biggest complaint is the time out and wake up feature. Every time I go to use the PC, it's asleep. Then have to either click a button (which may/may not cause an action on the PC) or pick it up and down several times. Too annoying so stopped using it. Might keep it aside for use with my laptop when traveling, Definitely not for daily use.",2022,10
"Not bad, would rather have purchased apple",2022,10
The box came absolutely smashed and the mouse doesn’t work with the USB-C adapter that’s included with it.,2022,10
Broke within a week.,2022,10
"This is slim, quiet and I absolutely love the changing of colors. Best mouse I've had !!",2022,10
This worked great at first but have to keep it on power or it will only last about 2 hours after about 5 months.,2022,10
I bought this mouse to match the keyboard I bought for my daughter to use with her laptop. She does online school and likes having a mouse as well as a keyboard. She likes that they match and both light up. I didn't know how it would be for gaming.,2022,10
Very easy to use and sleek design. It is small enough to fit easily into my computer bag when I have to take it with me.,2022,10
Good feel and ergonomics but scroll wheel broke at six weeks. Design/plastic quality selection does not live up to common everyday use.,2022,10
"This is nice little mouse, very quiet clicking, and I get lots of compliments on the changing color lights.",2022,10
Did not work with intended laptop,2022,10
"Sleek, ergonomic feel, quiet clicker. Easy to charge, USB easy to install. Would definitely recommend for the price!",2022,10
I just purchased this mouse to use with my new laptop and am impressed with the quietness of the buttons and it has helped me win on my games,2022,10
"Love the clickity clicks of the mouse, got it for my daughter for online school work and she loves the damn thing.",2022,10
"This mouse would not connect to my compute despite multiple attempts following the instructions given. As is typical of many Amazon products, this product is cheaply made and not worth wasting your money on.I would suggest avoiding making purchases from this brand in the future, and strongly suggest NOT BUYING THIS MOUSE. Unless throwing money away on broken pieces of junk that don't work is a past time of yours. Then knock yourself out.",2022,10
Bought the item and scroll button and left button stopped working after about 3 months of use,2022,10
Very ergonomic,2022,10
"Item worked fine for 5 months and then no longer would turn on. And yes, it was fully charged. Of course it was past the return date, so its basically junk... Save your money and buy a name brand",2022,10
"The mouse is very slim but is so cheaply made don't dare drop it or it's going to break, I won't by another one",2022,10
" Bought this mouse for my office to go with the theme and love it, was kind of frustrated at first because it was tricky getting it to come on but after holding the two buttons it worked. Great purchase.",2022,10
"These things stop working after a few weeks! I got two and one it just refuses to charge or stay on. The other, the scroller fell! Very poorly made! DO NOT PURCHASE!",2022,10
"I like how slim it is, and the colors are a nice touch without being distracting. Clicking is responsive, though the movement was a little glitchy (for me) sometimes. My biggest complaint is that the USB sticks out super far if you have to use the USB-C adapter.",2022,10
"I was super exited for this to come, and it worked for about five minuted! The only thing that worked was the USB to type-C adapter!😠",2022,10
I used it for a month and then it stopped working..,2022,10
"Love the color, love how it changes colors and love how it holds a charge!",2022,10
"I bought this mouse because it said it was rechargeable and I wouldn’t have to remember to always have batteries around. I used it for a few days and once the better inside died, I went to recharge it. I charged it for 5+ hours (even though it says the charge time is 2-3 hours) and then went to go use it and it does not work",2022,10
"Put one star because this store sent me a bad mouse twice. the first was working, then not working. the next did not work at all. Just wasted time and money.",2022,10
I love the sleep mode. So easy to use.,2022,10
Works on MacBook Pro.,2022,10
"I loved this little mouse. It looked great. It felt great in my hand. The wheel was nice for scrolling. The battery even held a charge for what I thought was a reasonable amount of time. I would categorize my usage as light-moderate use (and no abuse).Then came the day, about a month after arrival, right after the return window closed, that it started glitching. Now, it drops off, not responding, then will work again, then drop off again and I’m not talking about sleep mode- this is during active use. Back and forth. Back and forth. It’s frustrating, probably more because I so desperately want a mouse instead of my laptop’s trackpad.All that said, I didn’t spend a whole lot of money on this mouse, so I get what I pay for. I just wish I had gotten a little more than a month before the glitching.",2022,10
The scroll button broke after just a month. Would not recommend,2022,10
"I was happy with this purchase until the mouse wheel quit working. I purchased this device on July 24, 2022 and a week ago (September 2022) it quit working. After looking through the questions, I see others have experienced this too. I wouldn't purchase this item. It's a known issue.",2022,10
"I got this for my mother because she wanted something pink and cheap. It really feels like its made of trash. It does seem to work well enough, though the tracking is inconsistent at best. The ergonomics are really non existent, doesn't seem like it's made for human hands.Overall, if you're buying for somebody who wants something cheap and pink and cant tell the difference go for it, but if you actually care about having a half decent mouse skip this one.",2022,10
Like it’s size. Perfect fit for laptop bag,2022,10
"Nice mouse, a little too lightweight for my liking. Battery lasts a while.Track wheel already broke, unfortunately.",2022,10
"The on/off switch often feels like there is sand in the mouse when moving it, it’s not a smooth move like I would have expected. I like the mouse but that roughness is annoying at times.",2022,10
It’s taken me a while to remember to turn it on after it sits awhile.,2022,10
you get what  you pay for,2022,10
I bought one and the piece going into my laptop didn’t work. The second broke easily.,2022,10
very good product.,2022,10
I love this mouse it’s quiet and pretty and the battery lasts a while I probably charge it once maybe twice a week,2022,10
"It’s ergonomic and stylish. Very cute colors and cool lights. Comes with all the attachments like cords for charging and it has a small indent under the mouse to keep the part that plugs into your laptop. I’m forever losing mine so that’s a great feature. Very quiet as well. I recommend it for a nice, cheap little mouse.",2022,10
Amazing feels cheap but is very durable,2022,10
"Very nice mouse , love the size and feel",2022,10
Very cheap mouse. Connectivity is poor at times.,2022,10
love the colors so far ok,2022,10
"i love the different colors, easy to find at night.  holds a charge for a few days.",2022,10
"Soft, light, smooth.",2022,10
I like how light and easy to handle is!,2022,10
Love it,2022,10
"I only had this item for a month if that, and it has already stopped working. It will not hold a charge and it is not the cable. I shouldn’t have ignored the other comments about it not working. Don’t make my same mistake!",2022,10
its a slick well made mouse and i will be buying another one thanks to manufacturer for nice creativity in build!!,2022,10
"I really liked this mouse when I first got it. It was low profile, had a nice soft and quiet click, had rainbow lights, and was available in a rose gold color. I thought I'd made a great purchase. Now, I've had it for less than 2 months and the scroll wheel is so squeaky. I can't stand to hear it when I'm scrolling through documents. Bummed it was a lemon!",2022,10
i use the mouse instead of mousepad,2022,10
very nice,2022,10
Prompt delivery on an awesome product,2022,10
"The colors were great while it worked. The wheel broke, and the usb fell apart when pulling it out of the computer.",2022,10
Bought one at first broke within a couple of months thinking maybe it was my daughter Bought another and broke again within a couple of months  the middle wheel on the mouse is defective and it the same problem from the first one I bought,2022,10
"Lightweight mouse, easy to charge, CAN USE WHILE CHARGING, and I like the teal color I got with fun colors lighting up. Makes my office work and time at the computer feel a little less boring. Easy to connect and works well with iMac.",2022,10
"so sad - been using for ~2 months only, and the scroll wheel broke already. bye bye scrolling feature. kind of a turn off to use it now that its broken",2022,10
"You have to press down very hard on the mouse, it gets very annoying. I wish I still had the box I’d return it",2022,10
Perfect little mouse! This mouse is so easy to use and to charge up it’s lightweight I love the little colors and it fits my hand perfectly,2022,10
"This product only lasted 4 days, I thought it was not charged but it not that",2022,10
"I don’t use this mouse often, and the mouse has completely failed. Won’t turn on, it does light up when it is charging but won’t turn on and stay on. Completely unusable. Pretty big bummer since I’m past return.. I do not recommend.",2022,10
Perfect in my office love the lightweight and easy to use.,2022,10
"The mouse worked great, until one day, it stopped scrolling. I've had it just about month...the rest of the mouse seems to be working but the scroll wheel is no longer responsive.",2022,10
"Do not buy this!!! I bought this in August 21st, return period is only 30 days and it stopped working in October 3rd. Tried different charging cords thought maybe it was the cord. But no lock just completely dead.",2022,10
The mouse has good shape and charges quickly but the roll just broke after one week of use,2022,10
Sleep mode works well,2022,10
"Simple to use.  Long battery life.  recharges by plugging into your computer.  This is the first mouse i've enjoyed using that wasn't wired.  This works much better than the old battery opperated ones, and has a much longer battery life.",2022,10
It's a no for me.,2022,10
Lasted a little over  a month and the scroll wheel stopped working.,2022,10
It doesn't stay charged for very long,2022,10
"Just plugged it in and it worked perfectly.  I wanted a small, low profile mouse to use when I travel, so far this one seems great.  The Chromebook I travel with only has usb-C ports, and I did think that that this mouse came with a usb-c receiver, but it doesn't.  It comes with usb receiver and an adapter which works fine but together they are over an inch long which is a little awkward.  It means I have to be very careful not to bump it and beak it.  If the receiver were smaller this would be ideal.  Overall, great value.",2022,10
Quiet and just what I was looking for,2022,10
"It was great to begin with. For the price I wasn’t expecting a lot. However, the scroll wheel quit working within the first 5 times of using it which is one of the reasons I purchased it to begin with 🥲",2022,10
The mic stopped working and charging after a few weeks,2022,10
"It looks awesome and is really quiet. only had it for a short time, but I love it.",2022,10
Terrible product!! First mouse broke within a week. Second mouse broke within 6 months!,2022,10
This is broken within a month.,2022,10
Mine stopped working… it doesn’t work on a mouse pad. And freezes when I use it on top of a flat surface.,2022,10
"Cheap, broke after 2 months",2022,10
The product is cheap and worked well for the first 2 months,2022,09
Stopped working in less than a week.  Just up and died...and now it has to be returned and look for another one.  Save yourself the effort and keep on lookin'...this ain't it!,2022,09
"Battery takes forever to die which is great, sleep mode helps a lot. It’s thinner and smoother than any other mouse I’ve own. Love the lights!!!!",2022,09
Purchased two. Works as described.You can't beat this price.Highly recommend!,2022,09
"I got it for my husband, he chose his colors lol",2022,09
I like that it does not need batteries. The battery lasts a long time.,2022,09
"I read the other reviews and it seems great.I fully charge mine and it last a few hours.If the charge lasted, this would be a good mouse.I have to rate mine a 'one'.",2022,09
"Right out of the box, the mouse never worked. The buttons activate, but the mouse never moved the cursor.  Junk.",2022,09
Very good,2022,09
"I bought one for my laptop and 2 days after I got it, the wheel stopped working and I could hear something loose inside it. I returned it for a replacement. The new one seems to be working fine, although sometimes the cursor glides smoothly across the screen and other times it jumps around a lot. Maybe this is just something wireless mice do? I don't know; I've never had one before.",2022,09
Tried 3 times using this in the week I've had it.  I even checked to make sure it was fully charged.Turned it off/on several times and no improvement. Movement of cursor is very slow/delayed.  Very disappointed with functionality.  I went back to using my battery operated mouse.,2022,09
"Initially I thought it’s a great piece but slowly I am struggling to use it as it stops working or goes to sleep for long. I does not get activated by just simply moving a bit, has to moved few times or even hit it on pad at time.",2022,09
"I bought this for my work laptop and I really like it.  The coloring changing option is fun, but I don’t turn that on very often so the charge lasts longer.  I have small hands and it fits my hand comfortably.",2022,09
"I got this in June and it’s now the end of September. It was great at first and lasted multiple days on a charge, but now the battery dies after just a couple of hours. And it dies randomly without any warning so it’s always in the middle of using it. Frustrating, this lasted maybe 3 months in total",2022,09
The c-type converter from this item wasn’t working so I had to use the one I had. Everything else was working good other than that.,2022,09
Love this mouse it has a sleek design and works wonderful! Love the quietness and the perfect fit for my small hands.,2022,09
Nice mouse and l like that the mouse sleeps to save the battery.,2022,09
"looks like the track wheel is connected to an internal device using a very fragile thin piece of plastic.  I was simply using the mouse (I didn't drop it or slam it) and suddenly the tactile feedback of using the track wheel stopped and the mouse would no longer scroll the screen.  too bad, I actually liked the mouse until then.",2022,09
Mouse is nice and lightweight and quiet. But its lags and jumps around sometimes,2022,09
Stopped working a few weeks after purchase.,2022,09
"I admit I was going to return this item because I did not understand the little USB attachment was on the bottom of the device.  I had charged it, but was using the little black USB insert in my laptop which did not work.  Once I inserted the white short USB from underneath the pointer, my computer accepted it and it works great!  I am still learning how to use these devices at age 74.  It is gorgeous and works!",2022,09
Mouse works well and is a good value for the inexpensive price.,2022,09
"Ordered this mouse in early September 2021, as of today it no longer holds a charge.I bought this mouse to have something portable to go along with my laptop as I generally dislike using the trackpad. It's size was ideal and it was overall comfortable and easy to use. However, this mouse does not hold a charge AT ALL. I had to charge it at least twice per week - remember this is not a mouse I used on my primary computer either! (and yes I do turn it off when it is stored in my bag.)Not thrilled that I now have to replace it after only 1 year of use and will not be purchasing again.",2022,09
"i am rating this negatively because the scroll button didn't last more than two weeks, it didnt even fall, i woke up to use my mouse only to discover the scroll wheel wasn't working. i feel like i wasted money on this purchase",2022,09
Love the mouse and it's quick connectivity to the computer. Not happy the scroll bottom quit working.,2022,09
glitchy and charge doesn't last,2022,09
"Nice size, color is true to expectation. Easy use and setup. Has usbc adapter included for newer hardware. USB adapter fits in base of mouse. Works well on multiple surfaces. Quick charging.",2022,09
Works great,2022,09
It stopped working within 2 days of use.,2022,09
It felt like a cheap product upon arrival and usage. After 2 months and no longer charges and is absolutely useless.,2022,09
As expected. Would buy again,2022,09
"I’ve had this mouse for almost 10 months. It worked so well and the color changing lights add a little pizazz. Unfortunately, the scroll wheel stopped working. It no longer has tension on it. It just spins now and moves nothing on the screen :(",2022,09
Turns itself off and battery doesn't last a whole work day.,2022,09
I work from home and this mouse is very comfortable and responsive.,2022,09
It did not come with a USB cable to charge the mouse. I wasted my money.,2022,09
This mouse is much faster than my last few. I like the charging system. Drawback is when the charger comes missing( and it will happen in my house) how to replace it?,2022,09
Works like it should and it’s super easy to set up.,2022,09
Unfortunately the scroll function is already broken. Otherwise this is a very cute and comfy mouse. I love the lights.,2022,09
I got this mouse and i charged it like it said to but when i went to use it it doesn't even work. I would not recomend anyone to get this mouse.,2022,09
Beautiful!,2022,09
"Didn't hold a charge long, but now won't recharge at all, just threw it in the trash.Had a battery operated mouse for 5 years until I lost it. Going back to batteries.",2022,09
"I purchased this mouse thinking it had a USB-C connector, not a USB with a USB-C adaptor (my bad). I opted to keep it. Three stars on its scrolling as it was not smooth, but it worked.  I would have kept it, but after a couple of weeks, it died and would not charge despite being plugged in for hours.  Don't waste your money; go with a tried and true brand",2022,09
I used it for about six weeks and it stopped working,2022,09
"Honestly waste of money. Didn’t charge, after 2 hours, and just didn’t work.",2022,09
it is easy to use,2022,09
"This works like a normal mouse and everything! However, the light that's in the mouse is so bright, it shines through the white on my mouse. It's not good aesthetically, however, if you want a mouse that does mouse things, this one's fine.",2022,09
Great item,2022,09
Great product,2022,09
Dropped this mouse once from desk to carpet and the scroll button broke. I guess you get what you pay for...,2022,09
"Love this mouse overall- beautiful lights, fits well in hand, responsive - but wheel broke after less than one month of regular use for design work. Very sad. This is the second mouse I've bought (first lasted 6 months, same issue) because I like it so much. Unfortunately, will be looking for something different for my next mouse.",2022,09
Just over a month old and the roller no longer functions.  I realize these are cheap…but a month?  Use exclusively for work…not heavy use…,2022,09
Had it for three months and it was working fine. Loved that the click was quiet and it was lightweight. But it stopped charging and working out of nowhere.,2022,09
This is the worst mouse ever!!!!,2022,09
"I wanted a product that I thought I’d have for at least the semester. Since I’ve purchased it, the ball that scrolls down/up is no longer working. Makes a mouse almost pointless to have. Seems am going to need a new mouse.",2022,09
The wheel for scrolling breaks to easily. This is the second one that I’ve purchased with the same issue. I will try another brand.,2022,09
The scrolling wheel is not working properly after 5 months so have to buy a new mouse. The USB charging feature is nice though and it is easy to carry.,2022,09
VERY COMFOT,2022,09
"Love this mouse. Take it anywhere, it's classy yet a little sexy for my workspace. It's very adaptable to who needs it in my house for their devices!",2022,09
Holds a charge for days!!,2022,09
Works perfectly with my Chromebook,2022,09
For me personally just not a good fit,2022,09
Sensitive mouse. Maybe because it’s new. Works fine,2022,09
"This mouse is very useful and beautiful colors, I thought it wouldn’t fit my Mac but it came with a Mac adapter.  Very convenient! And cute too!",2022,09
"This mouse worked great for 2 months, then the scroll wheel broke.  Don’t waste your money.",2022,09
I’ve had this wireless mouse less than a month and the wheel of the mouse has already broke. Not to happy with this mouse. Won’t buy this again,2022,09
This mouse was great at first but after a week the scrolling part stopped working.,2022,09
Scroll wheel stopped working within 60 days. To long after return time. All other features were good.,2022,09
"The scroll wheel broke after using this for like 3 days, very light use too.",2022,09
Just a garbage. Do NOT waste your money: it is NOT working after couple of weeks.,2022,09
Literally won't charge or turn on. Look somewhere else for a mouse.,2022,09
"I bought this mouse on August 3. It worked well for a while, but today (September 21) the mousewheel spins freely while my screen does not scroll. You get what you pay for, and I guess with this you're only paying for a mouse for a month and a half.",2022,09
Loved it at first but it stopped charging so it doesn’t work anymore,2022,09
I wound up returning because I non longer needed it but it I did try it out and it worked amazingly! I love how quiet and sleek it was and the adapter was perfect for my MacBook.,2022,09
Ease of use and portability,2022,09
The scroll wheel broke after only 1 month. :-(,2022,09
Good mouse,2022,09
Love it,2022,09
"This mouse worked perfectly for about 2 months. Almost on the 2 month mark exactly, the scroll wheel stopped working...it just spins and doesn't move the cursor up and down the page.  I looked to see if I could return, but the window closed a month ago. Don't be tempted by the cheap price. I should have stuck to a name brand!",2022,09
Not for regular or big hands,2022,09
Bought 2 (8/30-7/1) / exchanged 1 immediately due to sent a broken one.Recieved replacement.  Works sometimes.  Won't always work.The other 1.  (Original purchase) scrolly ball won't register any movent 9/18.Good for 2 months if you get one that works properly from the start.,2022,09
It’s a joke. We tried for a long time to get the mouse to even work and it doesn’t. Even after trying the mouse on multiple surfaces and troubleshooting thinking it was our computer. We plugged in a different mouse and it worked fine.Requested a return of the item and I had to pay for the return shipping and print the label. Absolute joke. Don’t waste your time.,2022,09
This wireless mouse works great ! It’s light and connected right to my MacBook Air with no problem.,2022,09
"I ordered my first one in April and had to replace it in June because I dropped it and the mouse wheel stopped working. I got the new one June 17th and today, once again, the mouse wheel stopped working out of nowhere. It barely even lasted three months",2022,09
"My first internal battery mouse.  I liked the ergonomics, but the charging was more frequent than I would have liked.  The mouse was thrown in a landfill, mere months old, because the wheel broke.  R.I.P. mouse..... I'm not really going to miss you.",2022,09
"It’s beautiful, but it literally stopped working after a month…It charges, but when I turn it on it shuts down right away.",2022,09
Barely had it 3 months and the scroll wheel on top stopped working. Now it's pretty much useless.,2022,09
It’s good for a lighting up mouse but isn’t for gaming really,2022,09
"It doesn’t work anymore! After a month when the return is no longer allowed, then it stopped working.",2022,09
The mouse is not effective.  Charged for 24 hours. Still no life or function. Do Not buy. When I noticed that the mouse was not working I charged it for 24 hours. Tried the mouse again and it still did not work but showed red as one of the colors which may be a warning. The seller did not respond or reply to assist me with any troubleshooting. Unsatisfied customer.,2022,09
This product is slim and doesn't fail. Easy click though and lights up. Charge lasts a few day,2022,09
It works just fine just not practical. I always have to recharge the battery. It is a bit of an annoyance.,2022,09
Works good and plug and play.,2022,09
I love this mouse. I've ordered two. The first one lasted me about ~1 year and the second I've received  just died on me about eight months after purchase. The clicker just stopped working on me! :(,2022,09
"I love the color and how slim it is, I use it for work/school.",2022,09
Super light and cute,2022,09
It works well,2022,09
Liked the recharge aspect,2022,09
"I love this mouse, but I have only had for a couple months and it completely stopped working yesterday.",2022,09
Junk,2022,09
"It's a good mouse, worked very well for the time I had it. Driver broke after two months and it doesn't work anymore.",2022,09
Roller ball broke after 2 weeks of use.,2022,09
Great buy…,2022,09
Purchased in June busted in September.  The center wheel broken inside rendering the device worthless.,2022,09
"Terrible product. Only reason I still have it is because Amazon told me just to keep it when I requested a return and refund. Battery doesn’t last at all. Feels terrible in your hand and the buttons and scroll ball are not accurate. Stay away, there are plenty of other cheap rgb mice.",2022,09
Even didn’t lat a month. Broken. Poor “quality”,2022,09
"This mouse worked great, until it didn’t. The scroll wheel no longer works. I use this mouse at my home office, so I haven’t been particularly rough with it where I could understand something breaking after less that 1 year of use.",2022,09
I just love this wireless mouse.  It's not big and bulky.  The clicking is quite and it's really cute looking.,2022,09
It just gets stains easily,2022,09
